discovery,discovery source,customerseverity,devicetype_en,service name_en,province
2020-04-17 12:14:18,User Created,2,Others,MISN,Quebec
2020-04-15 13:49:09,User Created,3,Router,MISN,Ontario
2020-04-14 08:00:08,User Created,5,Others,MISN,Ontario
2020-04-20 13:21:17,User Created,4,Switch,MISN,Ontario
2020-04-13 12:50:34,User Created,4,Router,MISN,Ontario
2020-04-14 08:00:24,User Created,5,Others,MISN,New Brunswick
2020-04-19 13:38:58,User Created,3,Others,IPVPN,British Columbia
2020-04-17 15:42:58,User Created,4,Router,MISN,Alberta
2020-04-10 07:27:23,User Created,1,Router,MISN,British Columbia
2020-04-17 22:08:44,User Created,3,Router,MISN,Manitoba
2020-04-20 17:55:00,User Created,3,Others,MISN,Nova Scotia
2020-04-14 08:00:25,User Created,5,Switch,MISN,Ontario
2020-04-21 07:59:28,User Created,2,Router,MISN,Quebec
2020-04-14 08:00:49,User Created,5,Others,MISN,Quebec
