date,month,day,BH,province,discovery source,customerseverity,devicetype_en,service name_en,No_of_incidents
1/1/2019,Jan,Tuesday,BH,Ontario,User Created,1,Others,MISN,16
1/1/2019,Jan,Tuesday,BH,Ontario,User Created,3,Switch,MISN,1
1/1/2019,Jan,Tuesday,NBH,Ontario,User Created,1,Others,MISN,32
1/2/2019,Jan,Wednesday,BH,Ontario,User Created,1,Others,MISN,8
1/2/2019,Jan,Wednesday,BH,Ontario,User Created,4,Router,MISN,1
1/2/2019,Jan,Wednesday,BH,Ontario,User Created,5,Others,MISN,1
1/2/2019,Jan,Wednesday,BH,Ontario,User Created,5,Router,MISN,1
1/2/2019,Jan,Wednesday,BH,Saskatchewan,User Created,4,Others,IPVPN,1
1/2/2019,Jan,Wednesday,BH,State/Province not required,User Created,3,Router,MISN,1
1/2/2019,Jan,Wednesday,NBH,New Brunswick,User Created,2,Other 2,MISN,1
1/2/2019,Jan,Wednesday,NBH,Ontario,User Created,1,Others,MISN,18
1/2/2019,Jan,Wednesday,NBH,Ontario,User Created,1,Switch,MISN,1
1/2/2019,Jan,Wednesday,NBH,Ontario,User Created,3,Router,MISN,1
1/2/2019,Jan,Wednesday,NBH,Ontario,User Created,4,Switch,MISN,1
1/2/2019,Jan,Wednesday,NBH,Saskatchewan,User Created,3,Router,MISN,1
1/3/2019,Jan,Thursday,BH,Alberta,User Created,3,Router,MISN,1
1/3/2019,Jan,Thursday,BH,Alberta,User Created,3,Switch,MISN,1
1/3/2019,Jan,Thursday,BH,Alberta,User Created,4,Router,MISN,1
1/3/2019,Jan,Thursday,BH,British Columbia,User Created,4,Router,MISN,1
1/3/2019,Jan,Thursday,BH,Manitoba,User Created,1,Other 2,MISN,1
1/3/2019,Jan,Thursday,BH,Nova Scotia,User Created,3,Switch,MISN,1
1/3/2019,Jan,Thursday,BH,Ontario,User Created,1,Others,MISN,12
1/3/2019,Jan,Thursday,BH,Ontario,User Created,4,Others,MISN,1
1/3/2019,Jan,Thursday,BH,Saskatchewan,User Created,3,Router,MISN,1
1/3/2019,Jan,Thursday,BH,State/Province not required,User Created,3,Router,MISN,1
1/3/2019,Jan,Thursday,NBH,New Brunswick,User Created,4,Switch,MISN,1
1/3/2019,Jan,Thursday,NBH,Ontario,User Created,1,Others,MISN,14
1/4/2019,Jan,Friday,BH,Alberta,User Created,3,Others,IPVPN,1
1/4/2019,Jan,Friday,BH,Alberta,User Created,3,Router,MISN,1
1/4/2019,Jan,Friday,BH,New Brunswick,User Created,4,Router,MISN,1
1/4/2019,Jan,Friday,BH,Ontario,User Created,1,Others,IPVPN,1
1/4/2019,Jan,Friday,BH,Ontario,User Created,1,Others,MISN,16
1/4/2019,Jan,Friday,BH,Ontario,User Created,3,Others,MISN,1
1/4/2019,Jan,Friday,BH,Saskatchewan,User Created,4,Router,MISN,1
1/4/2019,Jan,Friday,BH,State/Province not required,User Created,3,Router,MISN,2
1/4/2019,Jan,Friday,NBH,Alberta,User Created,3,Others,MISN,1
1/4/2019,Jan,Friday,NBH,Alberta,User Created,3,Router,MISN,1
1/4/2019,Jan,Friday,NBH,Ontario,User Created,1,Others,MISN,32
1/5/2019,Jan,Saturday,BH,Ontario,User Created,1,Others,MISN,16
1/5/2019,Jan,Saturday,NBH,Ontario,User Created,1,Others,MISN,32
1/5/2019,Jan,Saturday,NBH,Ontario,User Created,2,Switch,MISN,1
1/5/2019,Jan,Saturday,NBH,Quebec,User Created,3,Router,MISN,1
1/6/2019,Jan,Sunday,BH,Ontario,User Created,1,Others,MISN,16
1/6/2019,Jan,Sunday,NBH,British Columbia,User Created,3,Router,MISN,1
1/6/2019,Jan,Sunday,NBH,Ontario,User Created,1,Others,MISN,32
1/6/2019,Jan,Sunday,NBH,State/Province not required,User Created,3,Router,MISN,1
1/7/2019,Jan,Monday,BH,Ontario,User Created,1,Others,MISN,16
1/7/2019,Jan,Monday,BH,Ontario,User Created,3,Others,MISN,1
1/7/2019,Jan,Monday,BH,Ontario,User Created,4,Others,IPVPN,1
1/7/2019,Jan,Monday,BH,Ontario,User Created,4,Router,MISN,1
1/7/2019,Jan,Monday,BH,Quebec,User Created,3,Other 2,MISN,2
1/7/2019,Jan,Monday,BH,Quebec,User Created,4,Others,MISN,1
1/7/2019,Jan,Monday,BH,State/Province not required,User Created,2,Router,MISN,1
1/7/2019,Jan,Monday,NBH,Alberta,User Created,3,Switch,MISN,1
1/7/2019,Jan,Monday,NBH,Ontario,User Created,1,Others,MISN,32
1/7/2019,Jan,Monday,NBH,Quebec,User Created,3,Others,IPVPN,1
1/7/2019,Jan,Monday,NBH,Quebec,User Created,4,Router,MISN,1
1/8/2019,Jan,Tuesday,BH,Ontario,User Created,1,Others,MISN,16
1/8/2019,Jan,Tuesday,NBH,Ontario,User Created,1,Others,MISN,32
1/8/2019,Jan,Tuesday,NBH,Ontario,User Created,2,Router,MISN,1
1/9/2019,Jan,Wednesday,BH,Alberta,User Created,3,Router,MISN,1
1/9/2019,Jan,Wednesday,BH,British Columbia,User Created,4,Router,MISN,1
1/9/2019,Jan,Wednesday,BH,Manitoba,User Created,4,Other 2,MISN,1
1/9/2019,Jan,Wednesday,BH,Ontario,User Created,1,Others,MISN,16
1/9/2019,Jan,Wednesday,BH,Ontario,User Created,1,Switch,MISN,1
1/9/2019,Jan,Wednesday,BH,Ontario,User Created,3,Router,MISN,1
1/9/2019,Jan,Wednesday,BH,Quebec,User Created,3,Other 2,MISN,1
1/9/2019,Jan,Wednesday,BH,Quebec,User Created,3,Others,MISN,1
1/9/2019,Jan,Wednesday,BH,Quebec,User Created,4,Others,MISN,1
1/9/2019,Jan,Wednesday,NBH,Ontario,User Created,1,Others,MISN,32
1/9/2019,Jan,Wednesday,NBH,Ontario,User Created,3,Router,MISN,1
1/10/2019,Jan,Thursday,BH,Alberta,User Created,3,Others,IPVPN,1
1/10/2019,Jan,Thursday,BH,Alberta,User Created,3,Router,MISN,1
1/10/2019,Jan,Thursday,BH,Ontario,User Created,1,Others,MISN,4
1/10/2019,Jan,Thursday,BH,Ontario,User Created,3,Router,MISN,3
1/10/2019,Jan,Thursday,BH,Ontario,User Created,4,Others,MISN,1
1/10/2019,Jan,Thursday,BH,Ontario,User Created,4,Router,MISN,1
1/10/2019,Jan,Thursday,BH,Quebec,User Created,3,Others,MISN,2
1/10/2019,Jan,Thursday,BH,Quebec,User Created,3,Router,MISN,2
1/10/2019,Jan,Thursday,BH,Quebec,User Created,4,Others,MISN,2
1/10/2019,Jan,Thursday,NBH,Manitoba,User Created,4,Router,MISN,1
